,combined_chargedescription,arrest_year,X,Y,arrestnumber,age,latitude,longitude,objectid,shape,arrest_month
0,!ST DEGREE ASSAUALT,2018,1411163.48030056,578280.81051384,18019467.0,29.0,39.254,-76.651,328036,0.0,2
1,"(DRIVING, ATT.TO DRIVE) VEH. W",2018,0.0,0.0,18040904.0,40.0,0.0,0.0,288713,0.0,3
2,"(DRIVING, ATTEMPTING TO DRIVE",2018,0.0,0.0,18030509.0,40.0,0.0,0.0,308549,0.0,2
3,"(DRIVING, ATTEMPTING TO DRIVE)",2018,0.0,0.0,18107040.0,26.0,0.0,0.0,165154,0.0,7
4,"(DRIVING, ATTEMPTING TO DRIVE)",2019,0.0,0.0,19013144.0,31.0,0.0,0.0,335598,0.0,1
5,0774091,2020,1421888.44562356,593439.759069723,20109756.0,44.0,39.2955,-76.6129,143414,0.0,7
6,0SD65435-40,2019,0.0,0.0,19136855.0,30.0,0.0,0.0,90982,0.0,9
7,1 1111,2019,4223439.35114242,1789003.412485702,57244638.0,69.0,117.9108,-229.9878,600696,0.0,17
8,1 1118,2019,1412584.13947004,591653.649105246,19117872.0,53.0,39.2907,-76.6458,128836,0.0,8
9,1 1415,2018,1429813.57087845,618170.105290863,18153314.0,23.0,39.3633,-76.5845,71169,0.0,10
10,1 5299,2022,1416134.68045659,581469.113543407,22039350.0,23.0,39.2627,-76.6334,262406,0.0,4
11,1 DEG MURDER,2021,1423368.08859191,591588.470556952,21054592.0,20.0,39.2904,-76.6077,249948,0.0,4
12,1 ST BURGLARY,2020,1421147.55277753,594638.608898053,20064271.0,33.0,39.2988,-76.6155,221675,0.0,5
13,1-1130,2019,1415728.28321869,598113.027236259,19125821.0,55.0,39.3084,-76.6346,113525,0.0,8
14,16 303C,2019,0.0,0.0,19102664.0,41.0,0.0,0.0,158815,0.0,7
15,1ST AND 2ND DEGREE ATTEMPTED M,2021,1424434.2854552,593742.069250223,21133747.0,45.0,39.2963,-76.6039,82953,0.0,9
16,1ST BURGLARY,2019,1406660.45630654,609406.150130553,19028560.0,26.0,39.3395,-76.6665,304236,0.0,2
17,1ST DEG ASLT,2022,1418129.56776056,599069.768837979,22096160.0,37.0,39.311,-76.6261,136092,0.0,8
18,1ST DEG ATT. MURDER,2020,1410332.85582442,595688.030968785,20080668.0,30.0,39.3018,-76.6537,191089,0.0,6
19,1ST DEG BURGLARY,2019,2818260.1864891,1191440.128995384,38175386.0,70.0,78.6038,-153.3159,376899,0.0,12
20,1ST DEG MURDER,2019,1422854.67705059,572646.141880265,19064608.0,53.0,39.2384,-76.6098,235683,0.0,5
