,arrest_month,arrest_year,arrest_count
0,1,2018,118
5,2,2018,71
10,3,2018,67
15,4,2018,76
20,5,2018,71
25,6,2018,79
30,7,2018,65
35,8,2018,80
40,9,2018,68
45,10,2018,87
50,11,2018,67
55,12,2018,74
1,1,2019,83
6,2,2019,63
11,3,2019,62
16,4,2019,89
21,5,2019,63
26,6,2019,74
31,7,2019,73
36,8,2019,59
41,9,2019,89
46,10,2019,53
51,11,2019,71
56,12,2019,59
2,1,2020,67
7,2,2020,59
12,3,2020,63
17,4,2020,79
22,5,2020,122
27,6,2020,61
32,7,2020,85
37,8,2020,89
42,9,2020,110
47,10,2020,125
52,11,2020,110
57,12,2020,106
3,1,2021,99
8,2,2021,81
13,3,2021,96
18,4,2021,79
23,5,2021,82
28,6,2021,97
33,7,2021,90
38,8,2021,88
43,9,2021,64
48,10,2021,101
53,11,2021,74
58,12,2021,66
4,1,2022,97
9,2,2022,86
14,3,2022,80
19,4,2022,78
24,5,2022,95
29,6,2022,112
34,7,2022,120
39,8,2022,131
44,9,2022,126
49,10,2022,101
54,11,2022,96
59,12,2022,107
